LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
22,dolnośląskie,głogowski,Pęcław,wiejska,OPS,300203052000,12,12,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X,22,22,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X
23,dolnośląskie,głogowski,Żukowice,wiejska,OPS,300203062000,17,17,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,16,16,X,X,X,X,13,13,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,25,25,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
24,dolnośląskie,górowski,Góra,miejsko-wiejska,OPS,300204013000,34,34,X,X,X,X,97,97,X,X,X,X,23,23,X,X,X,X,131,131,X,X,X,X,92,92,X,X,X,X,93,93,X,X,X,X,1,1,X,X,X,X,329,329,X,X,X,X,136,136,X,X,X,X,110,110,X,X,X,X,5,5,X,X,X,X,20,20,X,X,X,X,15,15,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
25,dolnośląskie,górowski,Jemielno,wiejska,OPS,300204022000,12,12,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,18,18,X,X,X,X,10,10,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,28,28,X,X,X,X,28,28,X,X,X,X,11,11,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X
26,dolnośląskie,górowski,Niechlów,wiejska,OPS,300204032000,22,22,X,X,X,X,9,9,X,X,X,X,3,3,X,X,X,X,19,19,X,X,X,X,18,18,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,50,50,X,X,X,X,50,50,X,X,X,X,22,22,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,24,24,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X
27,dolnośląskie,górowski,Wąsosz,miejsko-wiejska,OPS,300204043000,21,21,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,32,32,X,X,X,X,10,10,X,X,X,X,31,31,X,X,X,X,0,0,X,X,X,X,90,90,X,X,X,X,66,66,X,X,X,X,30,30,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,17,17,X,X,X,X,17,17,X,X,X,X,2,2,X,X,X,X,16,16,X,X,X,X
28,dolnośląskie,jaworski,Bolków,miejsko-wiejska,OPS,300205023000,24,24,X,X,X,X,11,11,X,X,X,X,13,13,X,X,X,X,35,35,X,X,X,X,3,3,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,88,88,X,X,X,X,56,56,X,X,X,X,27,27,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X,9,9,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,27,27,X,X,X,X
29,dolnośląskie,jaworski,Jawor,miejska,OPS,300205011000,74,74,X,X,X,X,41,41,X,X,X,X,19,19,X,X,X,X,115,115,X,X,X,X,115,115,X,X,X,X,76,76,X,X,X,X,8,8,X,X,X,X,343,343,X,X,X,X,127,127,X,X,X,X,97,97,X,X,X,X,6,6,X,X,X,X,14,14,X,X,X,X,15,15,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,15,15,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,27,27,X,X,X,X
30,dolnośląskie,jaworski,Męcinka,wiejska,OPS,300205032000,33,33,X,X,X,X,10,10,X,X,X,X,7,7,X,X,X,X,36,36,X,X,X,X,27,27,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,68,68,X,X,X,X,35,35,X,X,X,X,28,28,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
31,dolnośląskie,jaworski,Mściwojów,wiejska,OPS,300205042000,24,24,X,X,X,X,11,11,X,X,X,X,3,3,X,X,X,X,24,24,X,X,X,X,24,24,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,24,24,X,X,X,X,24,24,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X
32,dolnośląskie,jaworski,Paszowice,wiejska,OPS,300205052000,10,10,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,9,9,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,29,29,X,X,X,X,20,20,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X
33,dolnośląskie,jaworski,Wądroże Wielkie,wiejska,OPS,300205062000,14,14,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X,2,2,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,41,41,X,X,X,X,14,14,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
34,dolnośląskie,m. Jelenia Góra,M. Jelenia Góra,miejska,MOPR,250261011000,170,170,X,X,X,X,15,15,X,X,X,X,12,12,X,X,X,X,158,158,X,X,X,X,120,120,X,X,X,X,110,110,X,X,X,X,1,1,X,X,X,X,352,352,X,X,X,X,352,352,X,X,X,X,141,141,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X,137,137,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,74,74,X,X,X,X,57,57,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,71,71,X,X,X,X
35,dolnośląskie,kamiennogórski,Kamienna Góra,miejska,OPS,300207011000,73,73,X,X,X,X,42,42,X,X,X,X,20,20,X,X,X,X,107,107,X,X,X,X,107,107,X,X,X,X,84,84,X,X,X,X,2,2,X,X,X,X,307,307,X,X,X,X,202,202,X,X,X,X,92,92,X,X,X,X,4,4,X,X,X,X,11,11,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,93,93,X,X,X,X,48,48,X,X,X,X,45,45,X,X,X,X,2,2,X,X,X,X,59,59,X,X,X,X
36,dolnośląskie,kamiennogórski,Kamienna Góra,wiejska,OPS,300207022000,38,38,X,X,X,X,15,15,X,X,X,X,6,6,X,X,X,X,53,53,X,X,X,X,46,46,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,114,114,X,X,X,X,114,114,X,X,X,X,48,48,X,X,X,X,3,3,X,X,X,X,15,15,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,51,51,X,X,X,X,33,33,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X
37,dolnośląskie,kamiennogórski,Lubawka,miejsko-wiejska,OPS,300207033000,48,48,X,X,X,X,20,20,X,X,X,X,42,42,X,X,X,X,36,36,X,X,X,X,36,36,X,X,X,X,36,36,X,X,X,X,0,0,X,X,X,X,106,106,X,X,X,X,68,68,X,X,X,X,28,28,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,34,34,X,X,X,X,16,16,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,31,31,X,X,X,X
38,dolnośląskie,kamiennogórski,Marciszów,wiejska,OPS,300207042000,14,14,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X,21,21,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,63,63,X,X,X,X,37,37,X,X,X,X,24,24,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,12,12,X,X,X,X,5,5,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
39,dolnośląskie,karkonoski,Janowice Wielkie,wiejska,OPS,300206052000,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,12,12,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X
40,dolnośląskie,karkonoski,Jeżów Sudecki,wiejska,OPS,300206062000,12,12,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X,11,11,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
41,dolnośląskie,karkonoski,Karpacz,miejska,OPS,300206011000,7,7,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
42,dolnośląskie,karkonoski,Kowary,miejska,OPS,300206021000,28,28,X,X,X,X,18,18,X,X,X,X,2,2,X,X,X,X,46,46,X,X,X,X,4,4,X,X,X,X,46,46,X,X,X,X,0,0,X,X,X,X,95,95,X,X,X,X,46,46,X,X,X,X,36,36,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,20,20,X,X,X,X
43,dolnośląskie,karkonoski,Mysłakowice,wiejska,OPS,300206072000,14,14,X,X,X,X,18,18,X,X,X,X,1,1,X,X,X,X,31,31,X,X,X,X,31,31,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,98,98,X,X,X,X,32,32,X,X,X,X,30,30,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X
44,dolnośląskie,karkonoski,Piechowice,miejska,OPS,300206031000,13,13,X,X,X,X,10,10,X,X,X,X,4,4,X,X,X,X,18,18,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,39,39,X,X,X,X,55,55,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,17,17,X,X,X,X,5,5,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
45,dolnośląskie,karkonoski,Podgórzyn,wiejska,OPS,300206082000,17,17,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X,23,23,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,69,69,X,X,X,X,28,28,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
46,dolnośląskie,karkonoski,Stara Kamienica,wiejska,OPS,300206092000,15,15,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,21,21,X,X,X,X,10,10,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,53,53,X,X,X,X,30,30,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,8,8,X,X,X,X
47,dolnośląskie,karkonoski,Szklarska Poręba,miejska,OPS,300206041000,15,15,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,29,29,X,X,X,X,13,13,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,29,29,X,X,X,X,36,36,X,X,X,X,29,29,X,X,X,X,21,21,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
48,dolnośląskie,kłodzki,Bystrzyca Kłodzka,miejsko-wiejska,OPS,300208063000,35,35,X,X,X,X,36,36,X,X,X,X,9,9,X,X,X,X,67,67,X,X,X,X,67,67,X,X,X,X,42,42,X,X,X,X,0,0,X,X,X,X,251,251,X,X,X,X,251,251,X,X,X,X,78,78,X,X,X,X,14,14,X,X,X,X,15,15,X,X,X,X,79,79,X,X,X,X,13,13,X,X,X,X,12,12,X,X,X,X,94,94,X,X,X,X,46,46,X,X,X,X,48,48,X,X,X,X,2,2,X,X,X,X,31,31,X,X,X,X
49,dolnośląskie,kłodzki,Duszniki-Zdrój,miejska,OPS,300208011000,16,16,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,45,45,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,15,15,X,X,X,X,5,5,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
50,dolnośląskie,kłodzki,Kłodzko,miejska,OPS,300208021000,84,84,X,X,X,X,57,57,X,X,X,X,16,16,X,X,X,X,141,141,X,X,X,X,108,108,X,X,X,X,96,96,X,X,X,X,0,0,X,X,X,X,223,223,X,X,X,X,154,154,X,X,X,X,99,99,X,X,X,X,2,2,X,X,X,X,25,25,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,36,36,X,X,X,X,14,14,X,X,X,X,20,20,X,X,X,X,0,0,X,X,X,X,33,33,X,X,X,X
51,dolnośląskie,kłodzki,Kłodzko,wiejska,OPS,300208072000,83,83,X,X,X,X,12,12,X,X,X,X,17,17,X,X,X,X,66,66,X,X,X,X,48,48,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,75,75,X,X,X,X,51,51,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,14,14,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,41,41,X,X,X,X
52,dolnośląskie,kłodzki,Kudowa-Zdrój,miejska,OPS,300208031000,50,50,X,X,X,X,9,9,X,X,X,X,7,7,X,X,X,X,43,43,X,X,X,X,40,40,X,X,X,X,43,43,X,X,X,X,0,0,X,X,X,X,126,126,X,X,X,X,126,126,X,X,X,X,41,41,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,46,46,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,39,39,X,X,X,X,21,21,X,X,X,X,18,18,X,X,X,X,3,3,X,X,X,X,128,128,X,X,X,X
53,dolnośląskie,kłodzki,Lądek-Zdrój,miejsko-wiejska,OPS,300208083000,24,24,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,32,32,X,X,X,X,29,29,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,87,87,X,X,X,X,32,32,X,X,X,X,26,26,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X
54,dolnośląskie,kłodzki,Lewin Kłodzki,wiejska,OPS,300208092000,7,7,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,7,7,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,9,9,X,X,X,X,3,3,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X
55,dolnośląskie,kłodzki,Międzylesie,miejsko-wiejska,OPS,300208103000,15,15,X,X,X,X,9,9,X,X,X,X,2,2,X,X,X,X,24,24,X,X,X,X,23,23,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,55,55,X,X,X,X,81,81,X,X,X,X,36,36,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X,14,14,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X
56,dolnośląskie,kłodzki,Nowa Ruda,miejska,OPS,300208041000,4,4,X,X,X,X,27,27,X,X,X,X,17,17,X,X,X,X,42,42,X,X,X,X,40,40,X,X,X,X,39,39,X,X,X,X,2,2,X,X,X,X,129,129,X,X,X,X,84,84,X,X,X,X,39,39,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,45,45,X,X,X,X,22,22,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,44,44,X,X,X,X
57,dolnośląskie,kłodzki,Nowa Ruda,wiejska,OPS,300208112000,29,29,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,39,39,X,X,X,X,32,32,X,X,X,X,31,31,X,X,X,X,0,0,X,X,X,X,86,86,X,X,X,X,66,66,X,X,X,X,31,31,X,X,X,X,2,2,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,33,33,X,X,X,X,13,13,X,X,X,X,20,20,X,X,X,X,3,3,X,X,X,X,27,27,X,X,X,X
58,dolnośląskie,kłodzki,Polanica-Zdrój,miejska,OPS,300208051000,15,15,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,33,33,X,X,X,X,19,19,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,54,54,X,X,X,X,20,20,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X
59,dolnośląskie,kłodzki,Radków,miejsko-wiejska,OPS,300208123000,18,18,X,X,X,X,21,21,X,X,X,X,24,24,X,X,X,X,39,39,X,X,X,X,29,29,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,136,136,X,X,X,X,77,77,X,X,X,X,32,32,X,X,X,X,2,2,X,X,X,X,9,9,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,42,42,X,X,X,X,20,20,X,X,X,X,22,22,X,X,X,X,2,2,X,X,X,X,27,27,X,X,X,X
60,dolnośląskie,kłodzki,Stronie Śląskie,miejsko-wiejska,OPS,300208133000,19,19,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,24,24,X,X,X,X,22,22,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,76,76,X,X,X,X,50,50,X,X,X,X,21,21,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,23,23,X,X,X,X,8,8,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X
61,dolnośląskie,kłodzki,Szczytna,miejsko-wiejska,OPS,300208143000,21,21,X,X,X,X,9,9,X,X,X,X,7,7,X,X,X,X,21,21,X,X,X,X,19,19,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,54,54,X,X,X,X,32,32,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X
62,dolnośląskie,m. Legnica,M. Legnica,miejska,MOPR,250262011000,224,224,X,X,X,X,178,178,X,X,X,X,29,29,X,X,X,X,402,402,X,X,X,X,380,380,X,X,X,X,316,316,X,X,X,X,19,19,X,X,X,X,1304,1304,X,X,X,X,476,476,X,X,X,X,326,326,X,X,X,X,0,0,X,X,X,X,41,41,X,X,X,X,46,46,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X,104,104,X,X,X,X,50,50,X,X,X,X,54,54,X,X,X,X,0,0,X,X,X,X,82,82,X,X,X,X
63,dolnośląskie,legnicki,Chojnów,miejska,OPS,300209011000,17,17,X,X,X,X,13,13,X,X,X,X,6,6,X,X,X,X,28,28,X,X,X,X,26,26,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,85,85,X,X,X,X,29,29,X,X,X,X,21,21,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X
64,dolnośląskie,legnicki,Chojnów,wiejska,OPS,300209022000,11,11,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,1,1,X,X,X,X,35,35,X,X,X,X,34,34,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X
